date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:04	3605/3605	---M--	200	added ('OK')	image/png	etag:3810608835620ac61bfcd86f0ed8003d	https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/50px-Cscr-featured.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/50px-Cscr-featured.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:06	142809/142809	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2007:31:11%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Featured_picture_candidates	C:/congress_site/congres/en.wikipedia.org/wiki/Wikipedia_Featured_picture_candidates.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:06	25914/25914	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202017%2014:06:06%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Featured_picture_candidates/US_Capitol_2	C:/congress_site/congres/en.wikipedia.org/wiki/Wikipedia_Featured_picture_candidates/US_Capitol_2.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:06	15901/15901	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2014:06:07%20GMT	https://en.wikipedia.org/wiki/Special:Upload	C:/congress_site/congres/en.wikipedia.org/wiki/Special_Upload.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:07	63755/63755	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2010:34:52%20GMT	https://en.wikipedia.org/wiki/Wikipedia:File_copyright_tags	C:/congress_site/congres/en.wikipedia.org/wiki/Wikipedia_File_copyright_tags.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:07	173886/173886	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2010:34:52%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Extended_image_syntax	C:/congress_site/congres/en.wikipedia.org/wiki/Wikipedia_Extended_image_syntax.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:07	10751367/10751367	---M--	200	added ('OK')	image/jpeg	etag:3092c0b530c899c456f95bd5a60762ea	https://upload.wikimedia.org/wikipedia/commons/2/27/Capitol_Building_Full_View.jpg	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/2/27/Capitol_Building_Full_View.jpg	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:07	48424/48424	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2012:01:19%20GMT	https://en.wikipedia.org/wiki/File:Wikipedia-logo-v2.svg	C:/congress_site/congres/en.wikipedia.org/wiki/File_Wikipedia-logo-v2.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:09	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:06:08%20GMT	http://upload.wikimedia.org/wikipedia/en/thumb/8/80/Wikipedia-logo-v2.svg/24px-Wikipedia-logo-v2.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/8/80/Wikipedia-logo-v2.svg/24px-Wikipedia-logo-v2.svg.2e.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:09	1591/1591	---M--	200	added ('OK')	image/png	etag:b012a495280477d10a4ede765c91a50f	https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Wikipedia-logo-v2.svg/24px-Wikipedia-logo-v2.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/8/80/Wikipedia-logo-v2.svg/24px-Wikipedia-logo-v2.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:09	96818/96818	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2000:07:06%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Picture_of_the_day	C:/congress_site/congres/en.wikipedia.org/wiki/Wikipedia_Picture_of_the_day.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:09	276226/276226	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2006:00:02%20GMT	https://en.wikipedia.org/wiki/English_Wikipedia	C:/congress_site/congres/en.wikipedia.org/wiki/English_Wikipedia.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:10	24086/24086	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Jul%202017%2018:36:59%20GMT	https://en.wikipedia.org/wiki/Template:POTD/2007-08-21	C:/congress_site/congres/en.wikipedia.org/wiki/Template_POTD/2007-08-21.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:10	335709/335709	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202017%2020:01:21%20GMT	https://en.wikipedia.org/wiki/United_States_Capitol	C:/congress_site/congres/en.wikipedia.org/wiki/United_States_Capitol.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:10	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jul%202017%2014:06:10%20GMT	https://en.wikipedia.org/wiki/seat_of_government	C:/congress_site/congres/en.wikipedia.org/wiki/seat_of_government	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:10	28709/28709	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Jul%202017%2015:09:01%20GMT	https://en.wikipedia.org/wiki/Seat_of_government	C:/congress_site/congres/en.wikipedia.org/wiki/Seat_of_government.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
